UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
80ec3f676e17debf,-0.8996047841132039,-1.0697255748838006,-0.6865866618935871,-0.7929135166801102,-1.232510563659751,-1.3997073013895298,1.805263111968735,-0.970788790229708,-0.2609823270655265,-0.7035665599769043,0.06433730376077337,-3.3330358937790683,3.0383522727272725,-1.04457161119041,-1.0982018327877927,-0.9466197484360842,-1.2730834987348407,-1.0061099876109687,-1.048104610315391,-0.8808883421627057,-1.0712523417319135,-0.45867608708327423,-0.6673860085720243,-0.517685859614434,undefined,1498223254399
80ec3f676e17debf,-0.7471432005405371,-1.0265799725218787,-0.8744812906280811,-0.932474104453674,-1.6534737515301334,-1.4361350142173552,1.8187907693714742,-1.0026949569366443,-0.24351369752212518,-0.7095743506414369,0.07462292079749562,-2.728716501020943,6.99856561942959,-1.0817353092399489,-1.1187249650361508,-0.9767458785398778,-1.1439016005004836,-1.1141628170878963,-1.1928749159685634,-1.1009522757582437,-1.2119968956304545,-0.44897629961618407,-0.6486829174586576,-0.48917215650011364,undefined,1498223255887
80ec3f676e17debf,-1.2530385202123182,-1.0923257692234434,-0.9370060960208213,-1.0063337477590444,-1.8131419026567082,-1.431384110828469,1.8286446064247137,-0.9463183112407514,-0.26332599199533974,-0.6998416387677053,0.08221495043729023,-1.6513707480501514,5.764806846033868,-1.1390736170350086,-1.2370348390132895,-1.1945809850946907,-1.3042131232913414,-1.159372850171674,-1.2305577201714009,-1.2115220224461445,-1.2649390239841654,-0.4590599927938329,-0.6550179484117524,-0.5034587617797008,undefined,1498223257375
80ec3f676e17debf,-1.3278833159531407,-1.0923257692234434,-0.9791150637185821,-1.0392950548687712,-1.8594819153301114,-1.4401543024390553,1.8356042743654901,-0.9256388693764083,-0.26713785381646826,-0.6947695587346728,0.08469587232137475,-1.1147359571139341,1.6805648395721926,-1.1528772769812168,-1.2901535628812586,-1.2362940805697071,-1.337716853036302,-1.181331267629282,-1.2572414073847704,-1.2604348357544861,-1.294108319794568,-0.4626955827321251,-0.6589920889211764,-0.5088004630431355,undefined,1498223258920
80ec3f676e17debf,-1.380551855790749,-1.1134583091558135,-1.0142057854210662,-1.0686212897655178,-1.9731578881249654,-1.4468802191645216,1.8473380399469694,-0.8777611155281462,-0.28319023770060026,-0.6759807124418235,0.09124257420815969,-0.17263261504325467,-0.7956564728163993,-1.1624336608043033,-1.3046404879908315,-1.2501984510276811,-1.3587062308864983,-1.1940179631921406,-1.2703692826276038,-1.2792929201301049,-1.3084352043045249,-0.4652170278114141,-0.6616602178209644,-0.5126543327419093,undefined,1498223260398
80ec3f676e17debf,-1.3722357846278068,-1.1122842791595706,-1.0173957124102289,-1.0722392740056674,-1.9533476352667805,-1.4513779808231255,1.8478850327822771,-0.8827165251521746,-0.2820977204587349,-0.6746596535733513,0.09111484931312079,-0.11888720363116903,-0.6389886920677362,-1.1741136859266443,-1.3082622137465496,-1.245563663819265,-1.361386462301047,-1.2070879593178898,-1.2792183025325963,-1.2813679897937205,-1.3179725876201343,-0.472722360806208,-0.6683415943510331,-0.5197571879401646,undefined,1498223261890
80ec3f676e17debf,-1.3264972940285724,-1.1193284591370272,-1.0193098719132858,-1.0728852987945474,-1.910898563659039,-1.4577950314112809,1.8482216560057978,-0.8927984679478242,-0.2831373137974797,-0.6749774331444,0.09172540847500003,-0.03137796468998687,-0.5084322081105169,-1.1911028114641393,-1.3275781108250495,-1.2710550049480973,-1.3850796762854287,-1.2218611583360994,-1.3000820089078375,-1.328079136342053,-1.3411596958265675,-0.47621316056564167,-0.673483566548726,-0.5286490551007602,undefined,1498223263672
80ec3f676e17debf,-1.327883324579493,-1.111697264161449,-1.0142057854210662,-1.0645034398996216,-1.8937008782907403,-1.459828458518304,1.849576003218293,-0.8874691879449386,-0.28388002349660885,-0.6739168566779132,0.09175613809512731,0.0273521570564507,-0.2908380681818182,-1.1889791693554617,-1.3336143326883023,-1.2687376104606167,-1.3859313400969624,-1.2197403253939652,-1.3036288389153412,-1.328661921953817,-1.341690672130216,-0.47619435465035875,-0.673491310759122,-0.5286963928473191,undefined,1498223264965
80ec3f676e17debf,-1.32233927138663,-1.1181544291407846,-1.0027213366766228,-1.0630443441342028,-1.893094021843387,-1.466126718949668,1.8555509145926525,-0.8617650876779513,-0.282949537809498,-0.6745721921457273,0.09199315187356583,0.03097917597235817,-0.34741254456327986,-1.1921646300902082,-1.333614330847744,-1.2733724029686682,-1.3936205095593055,-1.2244395682290956,-1.3070472769655153,-1.332971003163691,-1.3456076897437834,-0.47647591376633763,-0.6733824415123417,-0.5284219637593757,undefined,1498223266386
80ec3f676e17debf,-1.332041355847788,-1.139286852161185,-1.0161194366502244,-1.067902285703418,-1.9535224917403364,-1.4817396123358546,1.8696335336146737,-0.8044776898297084,-0.2819413468791314,-0.6786747435899285,0.09247816447901801,0.14725814424229036,-0.4126907865418895,-1.1900409912192238,-1.3384433046572293,-1.2617854252316296,-1.390845420976222,-1.2234154674294317,-1.309229941611868,-1.326648662518158,-1.3450353057099447,-0.4764558161124973,-0.673131104134639,-0.5280628968706906,undefined,1498223267902
