timestamp, latitude, longitude, accuracy, UUID 
1498223248895,48.2638619,11.6712272,104.0999984741211,,80ec3f676e17debf
1499645103153,48.2638619,11.6712272,98.4000015258789,,80ec3f676e17debf
1498223260603,48.264889,11.6712039,24,,80ec3f676e17debf
1498223261632,48.2648813,11.671208,24,,80ec3f676e17debf
1498223262632,48.2648735,11.6712069,24,,80ec3f676e17debf
1498223263669,48.2648728,11.6712351,24,,80ec3f676e17debf
1498223264669,48.2648734,11.6712677,24,,80ec3f676e17debf
1498223265999,48.2648341,11.6712441,24,,80ec3f676e17debf
1498223265062,48.2648341,11.6712441,31.24799919128418,,80ec3f676e17debf
1498223266999,48.2648101,11.6712337,24,,80ec3f676e17debf
1498223267999,48.2647903,11.6712311,16,,80ec3f676e17debf
1498223268999,48.2647775,11.6712303,16,,80ec3f676e17debf
1498223269999,48.2647647,11.67123,16,,80ec3f676e17debf
1498223270999,48.2647576,11.6712346,16,,80ec3f676e17debf
1498223271999,48.2647558,11.6712398,12,,80ec3f676e17debf
1498223272999,48.2647605,11.6712365,12,,80ec3f676e17debf
1498223273999,48.2649383,11.6712866,8,,80ec3f676e17debf
1498223274999,48.2647579,11.6712351,8,,80ec3f676e17debf
1498223275999,48.2647536,11.6712368,8,,80ec3f676e17debf
1498223276999,48.2647503,11.6712398,6,,80ec3f676e17debf
1498223277999,48.2647452,11.6712399,12,,80ec3f676e17debf
1498223278999,48.2647384,11.6712363,16,,80ec3f676e17debf
1498223279999,48.2647322,11.6712487,12,,80ec3f676e17debf
1498223282999,48.2647387,11.6712813,12,,80ec3f676e17debf
1498223283999,48.2647467,11.6712833,6,,80ec3f676e17debf
1498223284999,48.2647463,11.6712939,24,,80ec3f676e17debf
1498223285999,48.2647463,11.6712939,12,,80ec3f676e17debf
1498223286999,48.2647463,11.6712939,16,,80ec3f676e17debf
1498223287999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223288999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223289999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223290999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223291999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223292999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223293999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223294999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223295999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223296999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223298999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223301999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223302999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223303999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223304999,48.2647463,11.6712939,24,,80ec3f676e17debf
1498223305999,48.2647463,11.6712939,24,,80ec3f676e17debf
1498223306999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223307999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223308999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223309999,48.2647463,11.6712939,48,,80ec3f676e17debf
1498223310999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223311999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223312999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223313999,48.2647463,11.6712939,32,,80ec3f676e17debf
1498223314999,48.2647523,11.6714468,24,,80ec3f676e17debf
1498223315999,48.2647523,11.6714468,16,,80ec3f676e17debf
1498223316999,48.2647236,11.6715726,32,,80ec3f676e17debf
1498223317999,48.2647027,11.6716211,32,,80ec3f676e17debf
1498223318999,48.2646817,11.6716609,24,,80ec3f676e17debf
1498223330834,48.264794,11.6597453,1299.9990234375,,80ec3f676e17debf
1498223335846,48.264794,11.6597453,1299.9990234375,,80ec3f676e17debf
