timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498223222165,11.699999809265137,-4.400000095367432,-19.700000762939453,23.33109570627725,,80ec3f676e17debf
1498223253315,-28.899999618530273,-21.100000381469727,-38.79999923706055,52.78124595267155,,80ec3f676e17debf
1498223253405,-28.700000762939453,-19.899999618530273,-39.70000076293945,52.875231731078344,,80ec3f676e17debf
1498223253534,-29,-20.30000114440918,-39.29999923706055,52.89215487770773,,80ec3f676e17debf
1498223253587,-29.200000762939453,-20.700000762939453,-39,52.935149337660235,,80ec3f676e17debf
1498223253719,-29.700000762939453,-21.80000114440918,-38.60000228881836,53.360006401827995,,80ec3f676e17debf
1498223253763,-29.899999618530273,-22,-38.70000076293945,53.62555372401325,,80ec3f676e17debf
1498223253833,-30.100000381469727,-22.100000381469727,-38.60000228881836,53.70642623100014,,80ec3f676e17debf
1498223253903,-30.100000381469727,-22,-38.5,53.59346984256221,,80ec3f676e17debf
1498223253953,-30.200000762939453,-22,-38.29999923706055,53.50635412397882,,80ec3f676e17debf
1498223254005,-30.30000114440918,-22,-38.20000076293945,53.49140304941825,,80ec3f676e17debf
1498223254065,-30.399999618530273,-22.200000762939453,-37.900001525878906,53.4173207513256,,80ec3f676e17debf
1498223254123,-30.600000381469727,-22.30000114440918,-37.60000228881836,53.36113020996797,,80ec3f676e17debf
1498223254152,-30.600000381469727,-22.30000114440918,-37.5,53.29071293808349,,80ec3f676e17debf
1498223254204,-30.80000114440918,-22.600000381469727,-37.29999923706055,53.391853334019096,,80ec3f676e17debf
1498223254219,-30.899999618530273,-22.600000381469727,-37.400001525878906,53.51943702207784,,80ec3f676e17debf
1498223254305,-30.80000114440918,-22.700000762939453,-37.400001525878906,53.50411429583739,,80ec3f676e17debf
1498223254376,-30.700000762939453,-22.5,-37.60000228881836,53.502338108773046,,80ec3f676e17debf
1498223254423,-30.600000381469727,-22.30000114440918,-37.79999923706055,53.502243422771826,,80ec3f676e17debf
1498223254478,-30.600000381469727,-22.200000762939453,-38,53.60223944241684,,80ec3f676e17debf
1498223254502,-30.5,-22.100000381469727,-38,53.50383167271396,,80ec3f676e17debf
1498223254545,-30.600000381469727,-21.899999618530273,-38.10000228881836,53.549792354690496,,80ec3f676e17debf
1498223254594,-30.700000762939453,-21.80000114440918,-38,53.495140924564936,,80ec3f676e17debf
1498223254653,-30.600000381469727,-21.80000114440918,-38.10000228881836,53.50897426739217,,80ec3f676e17debf
1498223254734,-30.5,-22,-38.29999923706055,53.67625073138142,,80ec3f676e17debf
1498223254805,-30.399999618530273,-22,-38.5,53.76253317268943,,80ec3f676e17debf
1498223254823,-30.30000114440918,-22,-38.5,53.70605261877496,,80ec3f676e17debf
1498223254894,-30.200000762939453,-22,-38.60000228881836,53.72150634653337,,80ec3f676e17debf
1498223254942,-30.100000381469727,-21.899999618530273,-38.60000228881836,53.62443659559802,,80ec3f676e17debf
1498223254995,-30.100000381469727,-21.899999618530273,-38.60000228881836,53.62443659559802,,80ec3f676e17debf
1498223255023,-30.100000381469727,-22,-38.70000076293945,53.73732476819243,,80ec3f676e17debf
1498223255075,-30.100000381469727,-22.100000381469727,-38.900001525878906,53.92244520082103,,80ec3f676e17debf
1498223255117,-30.100000381469727,-22.200000762939453,-38.900001525878906,53.963507295476134,,80ec3f676e17debf
1498223255143,-30.100000381469727,-22.30000114440918,-38.900001525878906,54.00472323636089,,80ec3f676e17debf
1498223255305,-30,-22.30000114440918,-38.79999923706055,53.87698934117189,,80ec3f676e17debf
1498223255404,-30,-21.80000114440918,-38.400001525878906,53.38351908466958,,80ec3f676e17debf
1498223255482,-30,-21.600000381469727,-38,53.0147152031978,,80ec3f676e17debf
1498223255554,-30.200000762939453,-21.600000381469727,-38.10000228881836,53.19972083226433,,80ec3f676e17debf
1498223255616,-30.200000762939453,-21.600000381469727,-38.29999923706055,53.343134138488686,,80ec3f676e17debf
1498223255671,-30.30000114440918,-21.700000762939453,-38.5,53.583860751691276,,80ec3f676e17debf
1498223255697,-30.30000114440918,-21.700000762939453,-38.60000228881836,53.65575773516544,,80ec3f676e17debf
1498223255746,-30.399999618530273,-21.80000114440918,-38.70000076293945,53.82462343473129,,80ec3f676e17debf
1498223255784,-30.399999618530273,-22,-38.900001525878906,54.049699871066295,,80ec3f676e17debf
1498223255823,-30.399999618530273,-22.100000381469727,-38.79999923706055,54.01860714802716,,80ec3f676e17debf
1498223255895,-30.399999618530273,-22.30000114440918,-38.900001525878906,54.17250312856924,,80ec3f676e17debf
1498223255945,-30.399999618530273,-22.30000114440918,-38.79999923706055,54.10073893777498,,80ec3f676e17debf
1498223255983,-30.30000114440918,-22.399999618530273,-38.900001525878906,54.15773398275157,,80ec3f676e17debf
1498223256030,-30.30000114440918,-22.5,-38.79999923706055,54.127442478809904,,80ec3f676e17debf
1498223256103,-30.30000114440918,-22.5,-38.79999923706055,54.127442478809904,,80ec3f676e17debf
1498223256175,-30.30000114440918,-22.600000381469727,-38.70000076293945,54.09750605280074,,80ec3f676e17debf
