timestamp, light1, light2, light3, UUID 
1498223403899,93444,5613,93444,,80ec3f676e17debf
1498223404057,95624,5579,95624,,80ec3f676e17debf
1498223404057,95624,5579,95624,,80ec3f676e17debf
1498223404057,95624,5579,95624,,80ec3f676e17debf
1498223404267,95682,5565,95682,,80ec3f676e17debf
1498223404416,94418,5624,94418,,80ec3f676e17debf
1498223404416,94418,5624,94418,,80ec3f676e17debf
1498223404594,93014,5905,93014,,80ec3f676e17debf
1498223404594,93014,5905,93014,,80ec3f676e17debf
1498223404783,94715,5844,94715,,80ec3f676e17debf
1498223404783,94715,5844,94715,,80ec3f676e17debf
1498223404957,94687,5849,94687,,80ec3f676e17debf
1498223404957,94687,5849,94687,,80ec3f676e17debf
1498223405140,94835,5826,94835,,80ec3f676e17debf
1498223405140,94835,5826,94835,,80ec3f676e17debf
1498223405325,95048,5711,95048,,80ec3f676e17debf
1498223405497,95666,5737,95666,,80ec3f676e17debf
1498223405497,95666,5737,95666,,80ec3f676e17debf
1498223405680,95120,5893,95120,,80ec3f676e17debf
1498223405680,95120,5893,95120,,80ec3f676e17debf
1498223405855,88756,5676,88756,,80ec3f676e17debf
1498223405855,88756,5676,88756,,80ec3f676e17debf
1498223406039,87310,5749,87310,,80ec3f676e17debf
1498223406039,87310,5749,87310,,80ec3f676e17debf
1498223406236,86955,5705,86955,,80ec3f676e17debf
1498223406395,88010,5759,88010,,80ec3f676e17debf
1498223406395,88010,5759,88010,,80ec3f676e17debf
1498223406574,85446,5668,85446,,80ec3f676e17debf
1498223406574,85446,5668,85446,,80ec3f676e17debf
1498223406754,89575,5684,89575,,80ec3f676e17debf
1498223406754,89575,5684,89575,,80ec3f676e17debf
1498223406934,91756,5711,91756,,80ec3f676e17debf
1498223406934,91756,5711,91756,,80ec3f676e17debf
1498223407116,90953,5750,90953,,80ec3f676e17debf
1498223407297,91081,5761,91081,,80ec3f676e17debf
1498223407297,91081,5761,91081,,80ec3f676e17debf
1498223407479,90821,5813,90821,,80ec3f676e17debf
1498223407479,90821,5813,90821,,80ec3f676e17debf
1498223407663,90681,5809,90681,,80ec3f676e17debf
1498223407663,90681,5809,90681,,80ec3f676e17debf
