timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1497865644806,3.9000000953674316,-19.100000381469727,-3.4000000953674316,19.788381174002332,,80ec3f676e17debf
1497865714879,-5.599999904632568,7.900000095367432,-54.20000076293945,55.05824311825764,,80ec3f676e17debf
1497865714949,-5.099999904632568,7.5,-54.20000076293945,54.953618034122954,,80ec3f676e17debf
1497865715054,-4.700000286102295,7.700000286102295,-54.400001525878906,55.14290629094586,,80ec3f676e17debf
1497865715109,-4.300000190734863,7.400000095367432,-54.29999923706055,54.970355593256556,,80ec3f676e17debf
1497865715172,-3.700000047683716,7.300000190734863,-54.29999923706055,54.91329521786104,,80ec3f676e17debf
1497865715241,-3.4000000953674316,7.200000286102295,-54.10000228881836,54.682815464469975,,80ec3f676e17debf
1497865715279,-3.4000000953674316,7.300000190734863,-54.10000228881836,54.69607210823752,,80ec3f676e17debf
1497865715345,-3.700000047683716,7.400000095367432,-54.20000076293945,54.82782267598302,,80ec3f676e17debf
1497865715417,-4,7.800000190734863,-54.10000228881836,54.80556820891159,,80ec3f676e17debf
1497865715432,-4.099999904632568,7.900000095367432,-54.10000228881836,54.827276989175104,,80ec3f676e17debf
1497865715479,-4.300000190734863,8.100000381469727,-53.79999923706055,54.57600160624139,,80ec3f676e17debf
1497865715525,-4.300000190734863,8.300000190734863,-54,54.80310211172462,,80ec3f676e17debf
1497865715562,-4.300000190734863,8.600000381469727,-54,54.84933917917639,,80ec3f676e17debf
1497865715610,-4.099999904632568,9,-53.900001525878906,54.79981938422851,,80ec3f676e17debf
1497865715690,-3.6000001430511475,9.40000057220459,-53.70000076293945,54.635246817219034,,80ec3f676e17debf
1497865715739,-3.299999952316284,9.600000381469727,-53.900001525878906,54.8476089554493,,80ec3f676e17debf
1497865715757,-3.299999952316284,9.5,-54,54.92849897266125,,80ec3f676e17debf
1497865715823,-3.1000001430511475,9.5,-54.20000076293945,55.1135204584964,,80ec3f676e17debf
1497865715830,-3.1000001430511475,9.5,-54.400001525878906,55.31021703114377,,80ec3f676e17debf
1497865715843,-3.1000001430511475,9.40000057220459,-54.5,55.39151567568898,,80ec3f676e17debf
1497865715879,-3.200000047683716,9.199999809265137,-54.900001525878906,55.75742330865632,,80ec3f676e17debf
1497865715997,-3.299999952316284,9.199999809265137,-55,55.86170422372823,,80ec3f676e17debf
1497865716029,-3.4000000953674316,9.199999809265137,-54.79999923706055,55.67081636487056,,80ec3f676e17debf
1497865716079,-3.5,9.5,-54.70000076293945,55.629039969162015,,80ec3f676e17debf
1497865716118,-3.6000001430511475,9.800000190734863,-54.400001525878906,55.39278029968548,,80ec3f676e17debf
1497865716158,-3.6000001430511475,10.100000381469727,-54.10000228881836,55.15233733480224,,80ec3f676e17debf
