timestamp, light1, light2, light3, UUID 
1497864744464,113091,5567,113091,,80ec3f676e17debf
1497864744464,113091,5567,113091,,80ec3f676e17debf
1497864744650,114818,5604,114818,,80ec3f676e17debf
1497864744650,114818,5604,114818,,80ec3f676e17debf
1497864744650,114818,5604,114818,,80ec3f676e17debf
1497864744870,115483,5629,115483,,80ec3f676e17debf
1497864744870,115483,5629,115483,,80ec3f676e17debf
1497864745009,115014,5629,115014,,80ec3f676e17debf
1497864745190,111511,5652,111511,,80ec3f676e17debf
1497864745190,111511,5652,111511,,80ec3f676e17debf
1497864745362,111651,5656,111651,,80ec3f676e17debf
1497864745362,111651,5656,111651,,80ec3f676e17debf
1497864745542,109823,5664,109823,,80ec3f676e17debf
1497864745542,109823,5664,109823,,80ec3f676e17debf
1497864745723,110651,5693,110651,,80ec3f676e17debf
1497864745723,110651,5693,110651,,80ec3f676e17debf
1497864745903,110512,5731,110512,,80ec3f676e17debf
1497864746082,110860,5752,110860,,80ec3f676e17debf
1497864746082,110860,5752,110860,,80ec3f676e17debf
1497864746269,110252,5837,110252,,80ec3f676e17debf
1497864746269,110252,5837,110252,,80ec3f676e17debf
1497864746443,109251,5857,109251,,80ec3f676e17debf
1497864746443,109251,5857,109251,,80ec3f676e17debf
1497864746625,109766,5880,109766,,80ec3f676e17debf
1497864746625,109766,5880,109766,,80ec3f676e17debf
1497864746803,110034,5943,110034,,80ec3f676e17debf
1497864746983,107353,5962,107353,,80ec3f676e17debf
1497864746983,107353,5962,107353,,80ec3f676e17debf
1497864747163,107498,5957,107498,,80ec3f676e17debf
1497864747163,107498,5957,107498,,80ec3f676e17debf
1497864747346,108305,5958,108305,,80ec3f676e17debf
1497864747346,108305,5958,108305,,80ec3f676e17debf
1497864747524,108153,5927,108153,,80ec3f676e17debf
1497864747524,108153,5927,108153,,80ec3f676e17debf
1497864747704,108768,5959,108768,,80ec3f676e17debf
1497864747884,106431,5944,106431,,80ec3f676e17debf
1497864747884,106431,5944,106431,,80ec3f676e17debf
1497864748070,101917,5983,101917,,80ec3f676e17debf
1497864748070,101917,5983,101917,,80ec3f676e17debf
1497864748248,101773,5988,101773,,80ec3f676e17debf
1497864748248,101773,5988,101773,,80ec3f676e17debf
1497864748423,109134,5894,109134,,80ec3f676e17debf
1497864748423,109134,5894,109134,,80ec3f676e17debf
1497864748615,111792,5858,111792,,80ec3f676e17debf
1497864748783,110283,5903,110283,,80ec3f676e17debf
1497864748783,110283,5903,110283,,80ec3f676e17debf
1497864748963,112353,5881,112353,,80ec3f676e17debf
1497864748963,112353,5881,112353,,80ec3f676e17debf
1497864749144,110770,5949,110770,,80ec3f676e17debf
1497864749144,110770,5949,110770,,80ec3f676e17debf
1497864749330,108155,5996,108155,,80ec3f676e17debf
1497864749330,108155,5996,108155,,80ec3f676e17debf
1497864749505,110807,5912,110807,,80ec3f676e17debf
1497864749691,111491,5848,111491,,80ec3f676e17debf
1497864749691,111491,5848,111491,,80ec3f676e17debf
1497864749880,110844,5877,110844,,80ec3f676e17debf
1497864749880,110844,5877,110844,,80ec3f676e17debf
1497864750042,110382,5934,110382,,80ec3f676e17debf
1497864750042,110382,5934,110382,,80ec3f676e17debf
1497864750224,108053,5936,108053,,80ec3f676e17debf
1497864750224,108053,5936,108053,,80ec3f676e17debf
1497864750404,102138,5953,102138,,80ec3f676e17debf
1497864750584,101299,5976,101299,,80ec3f676e17debf
1497864750584,101299,5976,101299,,80ec3f676e17debf
1497864750765,108904,5945,108904,,80ec3f676e17debf
1497864750765,108904,5945,108904,,80ec3f676e17debf
1497864750944,108937,5900,108937,,80ec3f676e17debf
1497864750944,108937,5900,108937,,80ec3f676e17debf
1497864751124,109995,5945,109995,,80ec3f676e17debf
1497864751124,109995,5945,109995,,80ec3f676e17debf
1497864751304,104132,5896,104132,,80ec3f676e17debf
1497864751490,96041,6216,96041,,80ec3f676e17debf
1497864751490,96041,6216,96041,,80ec3f676e17debf
1497864751665,96853,6205,96853,,80ec3f676e17debf
1497864751665,96853,6205,96853,,80ec3f676e17debf
1497864751843,101224,5955,101224,,80ec3f676e17debf
1497864751843,101224,5955,101224,,80ec3f676e17debf
1497864752025,107398,5942,107398,,80ec3f676e17debf
1497864752025,107398,5942,107398,,80ec3f676e17debf
1497864752216,108503,5945,108503,,80ec3f676e17debf
1497864752384,108745,5937,108745,,80ec3f676e17debf
1497864752384,108745,5937,108745,,80ec3f676e17debf
1497864752564,102596,5935,102596,,80ec3f676e17debf
1497864752564,102596,5935,102596,,80ec3f676e17debf
1497864752744,97194,6081,97194,,80ec3f676e17debf
1497864752744,97194,6081,97194,,80ec3f676e17debf
1497864752924,95854,6039,95854,,80ec3f676e17debf
1497864752924,95854,6039,95854,,80ec3f676e17debf
1497864753104,104192,5926,104192,,80ec3f676e17debf
1497864753284,110336,5861,110336,,80ec3f676e17debf
1497864753284,110336,5861,110336,,80ec3f676e17debf
1497864753470,108510,5836,108510,,80ec3f676e17debf
1497864753470,108510,5836,108510,,80ec3f676e17debf
1497864753643,107269,5930,107269,,80ec3f676e17debf
1497864753643,107269,5930,107269,,80ec3f676e17debf
1497864753824,103461,5882,103461,,80ec3f676e17debf
1497864753824,103461,5882,103461,,80ec3f676e17debf
1497864754007,100564,5877,100564,,80ec3f676e17debf
1497864754184,105781,5809,105781,,80ec3f676e17debf
1497864754184,105781,5809,105781,,80ec3f676e17debf
1497864754364,108852,5795,108852,,80ec3f676e17debf
1497864754364,108852,5795,108852,,80ec3f676e17debf
1497864754545,108692,5773,108692,,80ec3f676e17debf
1497864754545,108692,5773,108692,,80ec3f676e17debf
1497864754724,108980,5862,108980,,80ec3f676e17debf
1497864754724,108980,5862,108980,,80ec3f676e17debf
1497864754904,101366,5801,101366,,80ec3f676e17debf
1497864755084,4245,6393,4245,,80ec3f676e17debf
1497864755084,4245,6393,4245,,80ec3f676e17debf
1497864755264,3862,6265,3862,,80ec3f676e17debf
1497864755264,3862,6265,3862,,80ec3f676e17debf
1497864755445,3726,6181,3726,,80ec3f676e17debf
1497864755445,3726,6181,3726,,80ec3f676e17debf
1497864755623,3503,6229,3503,,80ec3f676e17debf
1497864755623,3503,6229,3503,,80ec3f676e17debf
1497864755803,3307,6004,3307,,80ec3f676e17debf
1497864755983,3126,5873,3126,,80ec3f676e17debf
1497864755983,3126,5873,3126,,80ec3f676e17debf
1497864756164,3023,5839,3023,,80ec3f676e17debf
1497864756164,3023,5839,3023,,80ec3f676e17debf
1497864756349,2808,5675,2808,,80ec3f676e17debf
1497864756349,2808,5675,2808,,80ec3f676e17debf
1497864756527,2661,5562,2661,,80ec3f676e17debf
1497864756527,2661,5562,2661,,80ec3f676e17debf
1497864756715,2584,5484,2584,,80ec3f676e17debf
1497864756891,2473,5403,2473,,80ec3f676e17debf
1497864756891,2473,5403,2473,,80ec3f676e17debf
1497864757071,2230,5142,2230,,80ec3f676e17debf
1497864757071,2230,5142,2230,,80ec3f676e17debf
1497864757248,2141,5033,2141,,80ec3f676e17debf
1497864757248,2141,5033,2141,,80ec3f676e17debf
1497864757425,2172,5096,2172,,80ec3f676e17debf
1497864757425,2172,5096,2172,,80ec3f676e17debf
1497864757613,2327,5314,2327,,80ec3f676e17debf
1497864757783,2303,5294,2303,,80ec3f676e17debf
1497864757783,2303,5294,2303,,80ec3f676e17debf
1497864757964,2105,5056,2105,,80ec3f676e17debf
1497864757964,2105,5056,2105,,80ec3f676e17debf
1497864758143,2293,5362,2293,,80ec3f676e17debf
1497864758143,2293,5362,2293,,80ec3f676e17debf
1497864758324,2209,5288,2209,,80ec3f676e17debf
1497864758324,2209,5288,2209,,80ec3f676e17debf
1497864758505,2076,5133,2076,,80ec3f676e17debf
1497864758684,2213,5359,2213,,80ec3f676e17debf
1497864758684,2213,5359,2213,,80ec3f676e17debf
1497864758866,2146,5326,2146,,80ec3f676e17debf
1497864758866,2146,5326,2146,,80ec3f676e17debf
1497864759047,2016,5188,2016,,80ec3f676e17debf
1497864759047,2016,5188,2016,,80ec3f676e17debf
1497864759225,2126,5422,2126,,80ec3f676e17debf
1497864759225,2126,5422,2126,,80ec3f676e17debf
1497864759407,1827,5071,1827,,80ec3f676e17debf
1497864759585,1766,5047,1766,,80ec3f676e17debf
1497864759585,1766,5047,1766,,80ec3f676e17debf
1497864759764,1791,5136,1791,,80ec3f676e17debf
1497864759764,1791,5136,1791,,80ec3f676e17debf
1497864759944,1643,4968,1643,,80ec3f676e17debf
1497864759944,1643,4968,1643,,80ec3f676e17debf
1497864760125,1635,4992,1635,,80ec3f676e17debf
1497864760125,1635,4992,1635,,80ec3f676e17debf
1497864760305,1672,5127,1672,,80ec3f676e17debf
1497864760489,1526,4949,1526,,80ec3f676e17debf
1497864760489,1526,4949,1526,,80ec3f676e17debf
1497864760668,1625,5132,1625,,80ec3f676e17debf
1497864760668,1625,5132,1625,,80ec3f676e17debf
1497864760843,1544,5075,1544,,80ec3f676e17debf
1497864760843,1544,5075,1544,,80ec3f676e17debf
1497864761024,1407,4925,1407,,80ec3f676e17debf
